peppermint,dittany,lavender,ginger_root_width(mm),powdered_dragon_claw(mg),fluxweed(mg),drops_of_tree_wood_oil,fire_seed,rose_petal,daisy_root_width,daisy_root_height,water(ml),dragon_blood(ml),porcupine_quills,drops_of_red_wine,gillyweed(mg),honey(mg),morning_dew,ginger_root_height(mm),leech_juice(ml)
1.0,1.0,0.0,900.0,7.0,6.0,3567.0,1.0,1.0,13.0,14.0,582.0,2.4,10.0,2.0,26.0,4.1,0.0,406.0,137.0
1.0,1.0,0.0,1921.0,17.0,7.0,3144.0,0.0,1.0,8.0,18.0,1831.0,2.1,7.0,10.0,61.0,4.1,1.0,1459.0,93.0
1.0,1.0,0.0,1531.0,3.0,6.0,2041.0,1.0,0.0,3.0,7.0,730.0,2.2,14.0,2.0,27.0,4.7,1.0,528.0,90.0
1.0,1.0,1.0,1363.0,19.0,3.0,2748.0,0.0,1.0,6.0,12.0,589.0,2.6,9.0,18.0,53.0,4.5,0.0,246.0,113.0
1.0,1.0,1.0,1764.0,8.0,7.0,1284.0,1.0,1.0,11.0,13.0,1530.0,2.8,13.0,5.0,57.0,3.8,1.0,456.0,131.0
1.0,0.0,1.0,1686.0,20.0,8.0,1603.0,0.0,1.0,19.0,20.0,1667.0,2.2,16.0,5.0,62.0,2.5,0.0,1574.0,196.0
1.0,1.0,1.0,1713.0,21.0,7.0,2995.0,1.0,1.0,3.0,7.0,1705.0,2.7,22.0,19.0,57.0,3.5,1.0,1413.0,140.0
1.0,1.0,1.0,1292.0,4.0,6.0,588.0,1.0,1.0,10.0,21.0,835.0,2.3,21.0,2.0,29.0,2.6,0.0,651.0,147.0
0.0,1.0,0.0,1566.0,22.0,6.0,314.0,0.0,0.0,4.0,7.0,1416.0,2.6,10.0,3.0,29.0,4.6,0.0,806.0,139.0
1.0,0.0,1.0,988.0,18.0,4.0,2158.0,1.0,1.0,5.0,9.0,917.0,2.3,15.0,11.0,35.0,2.5,1.0,505.0,201.0
1.0,0.0,1.0,1593.0,17.0,4.0,1782.0,1.0,0.0,12.0,14.0,1320.0,2.8,4.0,2.0,13.0,3.9,0.0,690.0,190.0
1.0,1.0,1.0,1769.0,4.0,8.0,2112.0,0.0,0.0,7.0,11.0,1138.0,2.9,18.0,2.0,11.0,2.5,0.0,1309.0,152.0
1.0,1.0,1.0,1742.0,17.0,8.0,2179.0,1.0,0.0,7.0,9.0,948.0,2.8,15.0,10.0,27.0,3.7,1.0,652.0,145.0
1.0,0.0,0.0,1251.0,22.0,9.0,1039.0,0.0,1.0,6.0,8.0,1222.0,2.7,17.0,3.0,56.0,4.8,0.0,385.0,111.0
1.0,1.0,1.0,1434.0,9.0,5.0,2969.0,1.0,0.0,5.0,9.0,1579.0,2.1,9.0,2.0,66.0,3.0,1.0,118.0,107.0
1.0,0.0,1.0,585.0,15.0,9.0,450.0,0.0,1.0,19.0,20.0,1837.0,2.1,16.0,6.0,13.0,4.3,0.0,387.0,195.0
1.0,1.0,0.0,1180.0,8.0,3.0,1521.0,1.0,1.0,6.0,11.0,1731.0,2.9,7.0,3.0,14.0,4.1,0.0,463.0,188.0
1.0,1.0,0.0,1451.0,21.0,10.0,907.0,1.0,1.0,13.0,16.0,825.0,2.5,19.0,15.0,62.0,4.7,1.0,824.0,150.0
0.0,1.0,0.0,1207.0,15.0,4.0,1124.0,0.0,1.0,8.0,14.0,1683.0,2.4,18.0,4.0,13.0,4.5,1.0,197.0,160.0
1.0,1.0,0.0,522.0,3.0,5.0,2612.0,1.0,1.0,3.0,12.0,1721.0,2.1,13.0,2.0,54.0,4.1,1.0,419.0,189.0
1.0,1.0,1.0,1538.0,13.0,8.0,557.0,1.0,1.0,12.0,21.0,573.0,2.6,13.0,7.0,60.0,4.0,0.0,33.0,103.0
1.0,0.0,1.0,1730.0,10.0,8.0,2638.0,1.0,0.0,4.0,14.0,842.0,2.3,8.0,7.0,17.0,3.2,1.0,528.0,180.0
0.0,0.0,0.0,976.0,16.0,8.0,1473.0,0.0,0.0,6.0,15.0,810.0,2.8,13.0,9.0,22.0,3.9,1.0,498.0,187.0
1.0,0.0,1.0,1084.0,18.0,8.0,3208.0,1.0,0.0,8.0,14.0,1629.0,2.1,18.0,11.0,34.0,2.9,1.0,54.0,182.0
0.0,0.0,0.0,1942.0,12.0,7.0,3632.0,1.0,0.0,9.0,11.0,1950.0,2.1,19.0,10.0,18.0,4.8,1.0,633.0,102.0
0.0,1.0,0.0,1149.0,13.0,3.0,1107.0,0.0,0.0,8.0,9.0,742.0,2.2,21.0,3.0,14.0,3.8,1.0,937.0,125.0
0.0,1.0,0.0,1184.0,18.0,3.0,2834.0,1.0,0.0,3.0,9.0,1432.0,2.5,17.0,3.0,29.0,2.5,1.0,1134.0,185.0
1.0,0.0,1.0,1140.0,19.0,10.0,3477.0,0.0,0.0,5.0,21.0,1140.0,2.2,5.0,14.0,46.0,3.4,0.0,113.0,189.0
1.0,0.0,0.0,560.0,15.0,5.0,1020.0,0.0,1.0,12.0,19.0,818.0,2.9,17.0,6.0,16.0,2.5,0.0,151.0,200.0
1.0,1.0,1.0,996.0,22.0,8.0,798.0,0.0,0.0,5.0,15.0,1700.0,2.9,16.0,7.0,20.0,4.1,0.0,365.0,162.0
0.0,1.0,0.0,1091.0,4.0,7.0,3639.0,1.0,1.0,9.0,13.0,1818.0,2.1,18.0,2.0,52.0,3.6,0.0,802.0,188.0
1.0,0.0,1.0,888.0,17.0,6.0,1769.0,0.0,0.0,17.0,20.0,1275.0,2.4,13.0,5.0,50.0,3.0,1.0,492.0,101.0
1.0,0.0,1.0,1933.0,20.0,10.0,2015.0,1.0,1.0,9.0,13.0,986.0,2.5,18.0,2.0,41.0,4.2,1.0,58.0,121.0
1.0,1.0,1.0,1557.0,16.0,9.0,1721.0,1.0,1.0,5.0,21.0,777.0,2.1,20.0,3.0,12.0,4.5,1.0,446.0,187.0
1.0,1.0,1.0,1775.0,20.0,6.0,3132.0,1.0,0.0,6.0,14.0,1827.0,2.1,4.0,15.0,19.0,3.1,0.0,1623.0,159.0
0.0,0.0,0.0,1616.0,18.0,9.0,2649.0,0.0,1.0,15.0,16.0,1072.0,2.8,22.0,11.0,21.0,5.0,1.0,92.0,162.0
